query	hmm_score	hmm_evalue	hmm_profile	mmseq_pident	mmseq_evalue	mmseq_bits	mmseq_target	category
AEMGBJMM_02144				41.3	0.2188	24.0	DRAMP00639|len56	mmseq_only
AEMGBJMM_02162				40.7	0.8855	23.0	DRAMP02429|len65	mmseq_only
AEMGBJMM_02173				45.8	2.482	21.0	DRAMP02210|len71	mmseq_only
AEMGBJMM_02177				41.1	1.301	20.0	DRAMP00387|len37	mmseq_only
AEMGBJMM_02218				40.0	6.825	19.0	DRAMP04700|len50	mmseq_only
AEMGBJMM_02241				47.3	1.943	21.0	DRAMP04580|len40	mmseq_only
AEMGBJMM_02280				47.3	2.666	20.0	DRAMP02194|len42	mmseq_only
AEMGBJMM_02328				36.8	2.179	21.0	DRAMP03647|len40	mmseq_only
AEMGBJMM_02337				35.7	5.498	19.0	DRAMP02565|len93	mmseq_only
AEMGBJMM_02341				33.3	3.7	21.0	DRAMP31840|len40	mmseq_only
AEMGBJMM_02347				50.0	0.1195	25.0	DRAMP20892|len25	mmseq_only
AEMGBJMM_02470				30.4	5.585	20.0	DRAMP04682|len73	mmseq_only
AEMGBJMM_02539				45.4	0.6969	23.0	DRAMP03401|len60	mmseq_only
AEMGBJMM_02565				50.0	6.565	20.0	DRAMP01653|len24	mmseq_only
AEMGBJMM_02598				33.3	6.352	20.0	DRAMP03093|len44	mmseq_only
AEMGBJMM_02608				36.8	2.286	21.0	DRAMP00529|len56	mmseq_only
AEMGBJMM_02639				62.5	0.341	23.0	DRAMP03456|len50	mmseq_only
AEMGBJMM_02658				40.6	0.4845	23.0	DRAMP04444|len45	mmseq_only
AEMGBJMM_02717				38.7	0.08462	25.0	DRAMP03620|len49	mmseq_only
AEMGBJMM_02726				36.8	3.231	21.0	DRAMP00069|len50	mmseq_only
AEMGBJMM_02731				40.9	1.619	22.0	DRAMP00562|len57	mmseq_only
AEMGBJMM_02757				50.0	2.241	19.0	DRAMP03409|len31	mmseq_only
AEMGBJMM_02847				47.6	0.3245	23.0	DRAMP02792|len36	mmseq_only
AEMGBJMM_02853				30.7	1.651	21.0	DRAMP03472|len74	mmseq_only
AEMGBJMM_02860				45.1	1.578	21.0	DRAMP03148|len57	mmseq_only
AEMGBJMM_02903				30.7	3.714	20.0	DRAMP00476|len68	mmseq_only
AEMGBJMM_02909				47.0	4.637	19.0	DRAMP18433|len42	mmseq_only
AEMGBJMM_02939				30.1	0.2143	23.0	DRAMP04454|len77	mmseq_only
AEMGBJMM_02945				50.0	9.484	19.0	DRAMP00163|len30	mmseq_only
AEMGBJMM_02960				47.0	1.449	21.0	DRAMP01021|len43	mmseq_only
AEMGBJMM_02965				43.4	2.179	21.0	DRAMP01479|len46	mmseq_only
AEMGBJMM_02970				37.0	3.58	21.0	DRAMP03150|len61	mmseq_only
AEMGBJMM_02979				42.8	1.836	21.0	DRAMP36118|len48	mmseq_only
AEMGBJMM_03085				35.2	3.821	21.0	DRAMP03661|len66	mmseq_only
AEMGBJMM_03088				50.0	3.38	20.0	DRAMP03301|len29	mmseq_only
AEMGBJMM_03109				37.5	1.003	23.0	DRAMP03472|len74	mmseq_only
AEMGBJMM_03133				61.1	0.1308	23.0	DRAMP02361|len26	mmseq_only
AEMGBJMM_03167				34.7	3.7	21.0	DRAMP01014|len46	mmseq_only
AEMGBJMM_03175				38.4	0.004043	27.0	DRAMP04481|len76	mmseq_only
AEMGBJMM_03228				43.7	2.179	21.0	DRAMP03289|len50	mmseq_only
AEMGBJMM_03231				31.0	6.565	20.0	DRAMP02543|len88	mmseq_only
AEMGBJMM_03234				40.0	0.9866	21.0	DRAMP00951|len46	mmseq_only
AEMGBJMM_03237				44.4	0.4602	22.0	DRAMP01547|len31	mmseq_only
AEMGBJMM_03258				31.1	4.972	21.0	DRAMP02730|len50	mmseq_only
AEMGBJMM_03271				30.3	3.7	21.0	DRAMP36033|len97	mmseq_only
AEMGBJMM_03305				38.7	0.625	22.0	DRAMP02052|len33	mmseq_only
AEMGBJMM_03368				41.1	6.327	19.0	DRAMP01379|len30	mmseq_only
AEMGBJMM_03408				47.3	7.764	19.0	DRAMP01932|len29	mmseq_only
AEMGBJMM_03454				38.0	3.7	20.0	DRAMP04401|len69	mmseq_only
AEMGBJMM_03540				33.3	1.419	22.0	DRAMP03429|len48	mmseq_only
AEMGBJMM_03542				42.8	3.329	19.0	DRAMP18200|len55	mmseq_only
AEMGBJMM_03638				45.0	1.296	21.0	DRAMP04693|len43	mmseq_only
AEMGBJMM_03774				31.1	1.323	21.0	DRAMP00735|len77	mmseq_only
AEMGBJMM_03787				40.0	1.443	21.0	DRAMP00260|len36	mmseq_only
AEMGBJMM_03877				45.4	8.623	18.0	DRAMP30716|len20	mmseq_only
AEMGBJMM_03918				44.4	7.444	19.0	DRAMP01916|len30	mmseq_only
AEMGBJMM_03946				34.8	1.568	22.0	DRAMP00685|len68	mmseq_only
AEMGBJMM_03974				41.1	2.108	20.0	DRAMP04442|len46	mmseq_only
AEMGBJMM_03987				41.3	0.3805	23.0	DRAMP18308|len56	mmseq_only
AEMGBJMM_03993				39.2	5.672	19.0	DRAMP00396|len49	mmseq_only
AEMGBJMM_04008				38.0	2.087	21.0	DRAMP02589|len55	mmseq_only
AEMGBJMM_04023				34.4	0.5166	23.0	DRAMP30598|len35	mmseq_only
AEMGBJMM_04066				36.3	0.5196	22.0	DRAMP02811|len38	mmseq_only
AEMGBJMM_04089				37.0	2.581	21.0	DRAMP02885|len71	mmseq_only
AEMGBJMM_04114				40.9	1.038	21.0	DRAMP03198|len30	mmseq_only
AEMGBJMM_04144				40.0	6.579	19.0	DRAMP00711|len49	mmseq_only
AEMGBJMM_04185				38.7	1.244	21.0	DRAMP03455|len84	mmseq_only
AEMGBJMM_04205				35.7	7.132	19.0	DRAMP03447|len63	mmseq_only
AEMGBJMM_04309				42.1	5.729	20.0	DRAMP04467|len58	mmseq_only
AEMGBJMM_04314				41.6	0.674	21.0	DRAMP36129|len35	mmseq_only
AEMGBJMM_04328				34.2	0.4691	23.0	DRAMP02821|len72	mmseq_only
AEMGBJMM_04330				34.6	0.5105	23.0	DRAMP00557|len69	mmseq_only
AEMGBJMM_04342				43.7	0.2047	23.0	DRAMP00502|len53	mmseq_only
AEMGBJMM_04381				35.0	2.666	20.0	DRAMP30441|len36	mmseq_only
AEMGBJMM_04396				34.2	0.7354	22.0	DRAMP00484|len58	mmseq_only
AEMGBJMM_04424				37.5	0.7887	22.0	DRAMP00705|len50	mmseq_only
AEMGBJMM_04425				30.7	7.363	19.0	DRAMP31095|len48	mmseq_only
AEMGBJMM_04470				44.8	0.5766	23.0	DRAMP01718|len32	mmseq_only
AEMGBJMM_04537				31.7	0.8601	22.0	DRAMP02201|len71	mmseq_only
AEMGBJMM_04560				33.3	3.437	21.0	DRAMP03260|len67	mmseq_only
AEMGBJMM_04589				37.5	8.278	19.0	DRAMP03635|len48	mmseq_only
AEMGBJMM_04608				36.6	4.768	20.0	DRAMP02524|len93	mmseq_only
AEMGBJMM_04636				56.2	0.9905	21.0	DRAMP01908|len33	mmseq_only
AEMGBJMM_04637				37.9	0.6491	22.0	DRAMP00525|len54	mmseq_only
AEMGBJMM_04642				47.6	8.183	19.0	DRAMP30010|len24	mmseq_only
AEMGBJMM_04643				54.5	0.007217	27.0	DRAMP00025|len38	mmseq_only
AEMGBJMM_04660				30.9	2.02	21.0	DRAMP01075|len90	mmseq_only
AEMGBJMM_04724				46.4	0.8855	23.0	DRAMP02797|len45	mmseq_only
AEMGBJMM_04805				32.2	0.775	23.0	DRAMP00932|len79	mmseq_only
AEMGBJMM_04828				40.7	4.036	20.0	DRAMP00648|len74	mmseq_only
AEMGBJMM_04854				46.6	9.073	19.0	DRAMP00396|len49	mmseq_only
AEMGBJMM_04880				41.1	6.079	19.0	DRAMP18201|len55	mmseq_only
AEMGBJMM_04885				35.0	5.528	20.0	DRAMP00538|len57	mmseq_only
AEMGBJMM_04893				37.5	5.934	20.0	DRAMP04682|len73	mmseq_only
AEMGBJMM_04894				37.5	0.4959	22.0	DRAMP04498|len66	mmseq_only
AEMGBJMM_04902				38.0	4.302	20.0	DRAMP03699|len66	mmseq_only
AEMGBJMM_04906				50.0	0.8418	21.0	DRAMP00153|len44	mmseq_only
AEMGBJMM_04913				34.2	9.326	19.0	DRAMP00590|len65	mmseq_only
AEMGBJMM_04965				30.0	5.329	20.0	DRAMP31686|len26	mmseq_only
AEMGBJMM_05026				36.8	1.017	22.0	DRAMP00208|len26	mmseq_only
AEMGBJMM_05046				39.2	2.108	20.0	DRAMP01070|len90	mmseq_only
AEMGBJMM_05065				34.3	7.522	19.0	DRAMP04459|len83	mmseq_only
AEMGBJMM_05116				36.8	3.834	21.0	DRAMP04407|len76	mmseq_only
AEMGBJMM_05133				35.7	0.2835	23.0	DRAMP02768|len56	mmseq_only
AEMGBJMM_05151				30.9	3.573	20.0	DRAMP00682|len73	mmseq_only
AEMGBJMM_05154				54.5	7.666	20.0	DRAMP00535|len64	mmseq_only
AEMGBJMM_05222				40.0	1.811	20.0	DRAMP31277|len19	mmseq_only
AEMGBJMM_05224				66.6	0.08373	24.0	DRAMP21457|len29	mmseq_only
AEMGBJMM_05227				44.4	5.134	20.0	DRAMP00540|len46	mmseq_only
AEMGBJMM_05249				34.2	0.3539	23.0	DRAMP02533|len91	mmseq_only
AEMGBJMM_05254				32.7	0.009843	28.0	DRAMP03633|len93	mmseq_only
AEMGBJMM_05255				44.0	3.857	20.0	DRAMP04466|len69	mmseq_only
AEMGBJMM_05277				53.8	8.049	18.0	DRAMP02766|len24	mmseq_only
AEMGBJMM_05361				37.5	1.468	22.0	DRAMP00279|len98	mmseq_only
AEMGBJMM_05377				34.7	2.548	20.0	DRAMP02609|len37	mmseq_only
AEMGBJMM_05387				41.3	0.2004	24.0	DRAMP02839|len38	mmseq_only
AEMGBJMM_05430				34.4	3.346	21.0	DRAMP20934|len63	mmseq_only
AEMGBJMM_05448				36.6	0.1683	25.0	DRAMP00516|len52	mmseq_only
AEMGBJMM_05452				44.4	1.907	20.0	DRAMP02859|len40	mmseq_only
AEMGBJMM_05508				53.8	2.989	19.0	DRAMP04236|len13	mmseq_only
AEMGBJMM_05522				54.5	0.141	24.0	DRAMP03920|len26	mmseq_only
AEMGBJMM_05537	2.7	3.0	clu_298_n5					hmm_only
AEMGBJMM_05549				41.3	8.554	18.0	DRAMP04467|len58	mmseq_only
AEMGBJMM_05555				42.8	0.2235	24.0	DRAMP04611|len43	mmseq_only
AEMGBJMM_05566				37.5	1.385	21.0	DRAMP00074|len44	mmseq_only
AEMGBJMM_05586				37.9	0.5196	22.0	DRAMP04452|len84	mmseq_only
AEMGBJMM_05621	12.5	0.0024	clu_260_n5	40.7	0.02896	26.0	DRAMP02144|len79	both
AEMGBJMM_05626				38.4	4.32	21.0	DRAMP03302|len46	mmseq_only
AEMGBJMM_05640				61.5	2.519	20.0	DRAMP36109|len24	mmseq_only
AEMGBJMM_05647				36.8	2.931	20.0	DRAMP00199|len62	mmseq_only
AEMGBJMM_05664				36.8	1.253	20.0	DRAMP00215|len62	mmseq_only
AEMGBJMM_05733				40.7	0.02951	25.0	DRAMP00142|len57	mmseq_only
AEMGBJMM_05764				45.0	4.277	19.0	DRAMP32356|len27	mmseq_only
AEMGBJMM_05816				57.1	4.166	19.0	DRAMP35859|len22	mmseq_only
AEMGBJMM_05831				53.8	5.809	19.0	DRAMP35861|len20	mmseq_only
AEMGBJMM_05845				40.0	0.007612	28.0	DRAMP03523|len60	mmseq_only
AEMGBJMM_05854				30.4	0.2761	24.0	DRAMP03735|len44	mmseq_only
AEMGBJMM_05864				40.9	0.802	23.0	DRAMP02692|len43	mmseq_only
AEMGBJMM_05909				38.7	4.928	20.0	DRAMP02406|len99	mmseq_only
AEMGBJMM_05929				41.3	0.4692	23.0	DRAMP18419|len55	mmseq_only
AEMGBJMM_05939				34.1	0.1771	24.0	DRAMP00403|len52	mmseq_only
AEMGBJMM_05956				42.8	1.468	22.0	DRAMP29141|len23	mmseq_only
AEMGBJMM_06020				47.6	9.917	19.0	DRAMP00716|len68	mmseq_only
AEMGBJMM_06157				40.0	2.899	21.0	DRAMP21086|len31	mmseq_only
AEMGBJMM_06182				32.2	9.917	19.0	DRAMP00597|len73	mmseq_only
AEMGBJMM_06212				42.8	5.402	19.0	DRAMP01777|len15	mmseq_only
AEMGBJMM_06257				32.1	7.632	19.0	DRAMP00429|len50	mmseq_only
AEMGBJMM_06280				37.9	3.535	21.0	DRAMP02537|len90	mmseq_only
AEMGBJMM_06362				32.3	2.26	21.0	DRAMP00969|len45	mmseq_only
AEMGBJMM_06389				50.0	1.255	22.0	DRAMP01211|len69	mmseq_only
AEMGBJMM_06390	13.4	0.00086	clu_103_n11					hmm_only
AEMGBJMM_06395				34.2	2.099	21.0	DRAMP03501|len91	mmseq_only
AEMGBJMM_06403				47.0	4.036	20.0	DRAMP20835|len30	mmseq_only
AEMGBJMM_06405				42.3	5.934	20.0	DRAMP04482|len67	mmseq_only
AEMGBJMM_06443				50.0	0.06935	26.0	DRAMP01465|len46	mmseq_only
AEMGBJMM_06455				42.8	1.836	21.0	DRAMP00644|len51	mmseq_only
AEMGBJMM_06459				38.0	1.045	21.0	DRAMP01207|len23	mmseq_only
AEMGBJMM_06480				38.4	6.327	19.0	DRAMP03638|len74	mmseq_only
AEMGBJMM_06556				38.0	5.089	20.0	DRAMP21455|len33	mmseq_only
AEMGBJMM_06604				52.9	0.674	21.0	DRAMP35783|len38	mmseq_only
AEMGBJMM_06613				34.7	1.244	21.0	DRAMP00091|len43	mmseq_only
AEMGBJMM_06618				44.4	3.038	20.0	DRAMP02330|len22	mmseq_only
AEMGBJMM_06645				30.0	0.152	24.0	DRAMP00662|len66	mmseq_only
AEMGBJMM_06652				50.0	0.9954	22.0	DRAMP00071|len49	mmseq_only
AEMGBJMM_06675				40.0	0.01918	27.0	DRAMP00629|len58	mmseq_only
AEMGBJMM_06679				45.8	4.193	21.0	DRAMP02607|len37	mmseq_only
AEMGBJMM_06681				48.0	0.9602	20.0	DRAMP02212|len71	mmseq_only
AEMGBJMM_06696				32.4	1.1	22.0	DRAMP03391|len45	mmseq_only
AEMGBJMM_06808				40.0	3.119	21.0	DRAMP02966|len55	mmseq_only
AEMGBJMM_06814				50.0	4.637	19.0	DRAMP04010|len25	mmseq_only
AEMGBJMM_06866				36.1	0.3849	23.0	DRAMP00513|len48	mmseq_only
AEMGBJMM_06878				48.0	7.219	20.0	DRAMP00145|len31	mmseq_only
AEMGBJMM_06887	7.9	0.058	clu_186_n7					hmm_only
AEMGBJMM_06895	8.7	0.022	clu_235_n6					hmm_only
AEMGBJMM_06903				43.7	3.691	19.0	DRAMP30140|len33	mmseq_only
AEMGBJMM_06935				34.6	7.895	19.0	DRAMP00722|len74	mmseq_only
AEMGBJMM_06995				39.2	5.925	20.0	DRAMP04468|len86	mmseq_only
AEMGBJMM_07001				38.8	0.411	23.0	DRAMP03200|len32	mmseq_only
AEMGBJMM_07023				42.8	7.442	20.0	DRAMP03765|len50	mmseq_only
AEMGBJMM_07052				31.4	3.231	21.0	DRAMP04690|len95	mmseq_only
AEMGBJMM_07126				34.2	2.931	20.0	DRAMP02425|len32	mmseq_only
AEMGBJMM_07204				43.4	3.148	21.0	DRAMP00560|len59	mmseq_only
AEMGBJMM_07205				36.3	4.003	20.0	DRAMP31627|len27	mmseq_only
AEMGBJMM_07206				38.4	4.003	20.0	DRAMP00427|len46	mmseq_only
AEMGBJMM_07207				31.4	9.292	20.0	DRAMP03086|len36	mmseq_only
AEMGBJMM_07209				55.5	5.672	19.0	DRAMP01501|len46	mmseq_only
AEMGBJMM_07214				44.0	1.178	22.0	DRAMP01677|len25	mmseq_only
AEMGBJMM_07215				50.0	1.578	21.0	DRAMP30764|len35	mmseq_only
AEMGBJMM_07267				42.8	7.906	19.0	DRAMP18394|len64	mmseq_only
AEMGBJMM_07287				33.3	9.015	18.0	DRAMP04459|len83	mmseq_only
AEMGBJMM_07334				57.1	2.03	20.0	DRAMP02269|len24	mmseq_only
AEMGBJMM_07393				32.3	0.9265	22.0	DRAMP00509|len53	mmseq_only
AEMGBJMM_07418				37.5	9.104	19.0	DRAMP03002|len26	mmseq_only
AEMGBJMM_07430				44.0	0.2795	23.0	DRAMP04588|len66	mmseq_only
AEMGBJMM_07504				43.7	0.1453	25.0	DRAMP02921|len62	mmseq_only
AEMGBJMM_07511				30.0	6.998	20.0	DRAMP02757|len30	mmseq_only
AEMGBJMM_07532				36.6	3.435	20.0	DRAMP18380|len50	mmseq_only
AEMGBJMM_07555				32.4	0.07966	25.0	DRAMP00170|len60	mmseq_only
AEMGBJMM_07595				34.4	9.81	19.0	DRAMP03572|len39	mmseq_only
AEMGBJMM_07612				35.7	8.09	19.0	DRAMP04254|len36	mmseq_only
AEMGBJMM_07616				35.0	2.099	21.0	DRAMP00749|len50	mmseq_only
AEMGBJMM_07628				37.5	4.768	20.0	DRAMP00476|len68	mmseq_only
AEMGBJMM_07648				38.0	2.343	21.0	DRAMP01503|len46	mmseq_only
AEMGBJMM_07664				46.6	4.484	19.0	DRAMP01050|len49	mmseq_only
AEMGBJMM_07668				41.6	3.346	21.0	DRAMP04470|len55	mmseq_only
AEMGBJMM_07690				43.4	2.513	21.0	DRAMP01709|len28	mmseq_only
AEMGBJMM_07727				30.3	3.857	20.0	DRAMP30486|len36	mmseq_only
AEMGBJMM_07784				37.5	4.708	21.0	DRAMP00544|len50	mmseq_only
AEMGBJMM_07851				34.2	0.603	23.0	DRAMP02201|len71	mmseq_only
AEMGBJMM_07863				37.9	1.517	21.0	DRAMP29189|len75	mmseq_only
AEMGBJMM_07875				31.5	2.899	21.0	DRAMP04468|len86	mmseq_only
AEMGBJMM_07876				33.3	1.031	22.0	DRAMP00535|len64	mmseq_only
AEMGBJMM_07889				47.6	0.3533	23.0	DRAMP18551|len26	mmseq_only
AEMGBJMM_07903				41.6	8.278	19.0	DRAMP02782|len43	mmseq_only
AEMGBJMM_07912				32.3	0.4289	22.0	DRAMP31099|len62	mmseq_only
AEMGBJMM_07942				42.3	0.2398	24.0	DRAMP35729|len30	mmseq_only
AEMGBJMM_07946				40.0	2.26	21.0	DRAMP00181|len54	mmseq_only
AEMGBJMM_07992				41.3	1.17	21.0	DRAMP00146|len45	mmseq_only
AEMGBJMM_07996				52.1	2.961	21.0	DRAMP01468|len37	mmseq_only
AEMGBJMM_08028				36.0	2.652	20.0	DRAMP03317|len42	mmseq_only
AEMGBJMM_08044				39.1	7.363	19.0	DRAMP03090|len39	mmseq_only
AEMGBJMM_08072				45.0	0.9763	22.0	DRAMP18505|len27	mmseq_only
AEMGBJMM_08077				40.7	0.06453	26.0	DRAMP00547|len59	mmseq_only
AEMGBJMM_08084				42.8	2.433	20.0	DRAMP00140|len57	mmseq_only
AEMGBJMM_08114				47.0	0.05456	25.0	DRAMP18334|len44	mmseq_only
AEMGBJMM_08126				38.7	1.003	23.0	DRAMP03501|len91	mmseq_only
AEMGBJMM_08142				32.0	6.234	19.0	DRAMP00735|len77	mmseq_only
AEMGBJMM_08159				37.5	4.455	20.0	DRAMP02210|len71	mmseq_only
AEMGBJMM_08170				38.4	0.9866	21.0	DRAMP34362|len47	mmseq_only
AEMGBJMM_08204				36.3	6.097	20.0	DRAMP02312|len51	mmseq_only
AEMGBJMM_08216				40.7	0.9536	21.0	DRAMP00678|len75	mmseq_only
AEMGBJMM_08263				30.7	3.3	20.0	DRAMP00990|len50	mmseq_only
AEMGBJMM_08268				33.3	6.799	20.0	DRAMP03633|len93	mmseq_only
AEMGBJMM_08339				30.0	3.538	20.0	DRAMP00590|len65	mmseq_only
AEMGBJMM_08349				50.0	4.036	20.0	DRAMP00179|len34	mmseq_only
AEMGBJMM_08350				30.0	6.097	20.0	DRAMP02680|len48	mmseq_only
AEMGBJMM_08357				32.1	3.244	21.0	DRAMP01043|len47	mmseq_only
AEMGBJMM_08424				38.4	3.866	20.0	DRAMP03140|len35	mmseq_only
AEMGBJMM_08498				34.4	2.655	21.0	DRAMP01068|len91	mmseq_only
AEMGBJMM_08506				32.2	5.134	20.0	DRAMP02995|len93	mmseq_only
AEMGBJMM_08630				50.0	2.02	21.0	DRAMP01946|len32	mmseq_only
AEMGBJMM_08681				34.4	6.27	20.0	DRAMP18369|len43	mmseq_only
AEMGBJMM_08708				36.3	8.748	19.0	DRAMP00491|len50	mmseq_only
AEMGBJMM_08758				34.7	3.038	20.0	DRAMP02361|len26	mmseq_only
AEMGBJMM_08804				57.1	0.4492	23.0	DRAMP02066|len33	mmseq_only
AEMGBJMM_08872				41.1	6.806	19.0	DRAMP03470|len38	mmseq_only
AEMGBJMM_08880				50.0	3.942	19.0	DRAMP02850|len39	mmseq_only
AEMGBJMM_08920				33.3	8.183	19.0	DRAMP02210|len71	mmseq_only
AEMGBJMM_08934				32.1	6.526	19.0	DRAMP04430|len39	mmseq_only
AEMGBJMM_08987				30.9	0.162	24.0	DRAMP03796|len88	mmseq_only
AEMGBJMM_09036				37.9	2.099	21.0	DRAMP03749|len50	mmseq_only
AEMGBJMM_09054				30.4	9.917	19.0	DRAMP00613|len66	mmseq_only
AEMGBJMM_09070				38.4	3.943	21.0	DRAMP00432|len47	mmseq_only
AEMGBJMM_09106				38.0	7.906	19.0	DRAMP02553|len93	mmseq_only
AEMGBJMM_09110				46.1	1.093	21.0	DRAMP03108|len34	mmseq_only
AEMGBJMM_09115				34.7	7.522	19.0	DRAMP29229|len36	mmseq_only
AEMGBJMM_09129				36.6	9.055	20.0	DRAMP04400|len69	mmseq_only
AEMGBJMM_09148	11.4	0.0045	clu_090_n12					hmm_only
AEMGBJMM_09157				50.0	5.949	19.0	DRAMP01279|len21	mmseq_only
