DRAMP01105|len18	DRAMP01106|len18
DRAMP01829|len14	DRAMP01829|len14
DRAMP01518|len37	DRAMP01518|len37
DRAMP01518|len37	DRAMP01453|len37
DRAMP01518|len37	DRAMP01469|len37
DRAMP01518|len37	DRAMP01470|len37
DRAMP01518|len37	DRAMP01481|len37
DRAMP01518|len37	DRAMP01519|len37
DRAMP01518|len37	DRAMP35675|len37
DRAMP01518|len37	DRAMP01454|len37
DRAMP01518|len37	DRAMP01458|len37
DRAMP01518|len37	DRAMP01462|len37
DRAMP01518|len37	DRAMP01476|len37
DRAMP01518|len37	DRAMP01484|len37
DRAMP01518|len37	DRAMP01504|len37
DRAMP01518|len37	DRAMP01505|len37
DRAMP01518|len37	DRAMP01507|len37
DRAMP01518|len37	DRAMP01508|len37
DRAMP01518|len37	DRAMP01509|len37
DRAMP01518|len37	DRAMP01510|len37
DRAMP01518|len37	DRAMP01511|len37
DRAMP01518|len37	DRAMP01381|len39
DRAMP01518|len37	DRAMP01449|len32
DRAMP01518|len37	DRAMP01450|len37
DRAMP01518|len37	DRAMP01490|len37
DRAMP01518|len37	DRAMP01467|len37
DRAMP01518|len37	DRAMP01492|len37
DRAMP01518|len37	DRAMP01468|len37
DRAMP01518|len37	DRAMP01466|len36
DRAMP01827|len13	DRAMP01827|len13
DRAMP02077|len24	DRAMP02077|len24
DRAMP02077|len24	DRAMP01920|len24
DRAMP02077|len24	DRAMP01940|len24
DRAMP02077|len24	DRAMP01941|len24
DRAMP02077|len24	DRAMP01964|len24
DRAMP02077|len24	DRAMP02100|len24
DRAMP02077|len24	DRAMP02097|len24
DRAMP02077|len24	DRAMP02231|len24
DRAMP02077|len24	DRAMP02078|len24
DRAMP02077|len24	DRAMP01924|len24
DRAMP02077|len24	DRAMP01893|len24
DRAMP02077|len24	DRAMP01891|len24
DRAMP02077|len24	DRAMP01949|len24
DRAMP02077|len24	DRAMP01950|len24
DRAMP02077|len24	DRAMP02040|len24
DRAMP02077|len24	DRAMP02049|len24
DRAMP02077|len24	DRAMP02073|len24
DRAMP02077|len24	DRAMP02075|len24
DRAMP02077|len24	DRAMP01871|len24
DRAMP02077|len24	DRAMP01923|len24
DRAMP02077|len24	DRAMP01945|len23
DRAMP02077|len24	DRAMP01992|len23
DRAMP02077|len24	DRAMP01968|len24
DRAMP02077|len24	DRAMP02034|len24
DRAMP02077|len24	DRAMP01967|len24
DRAMP02077|len24	DRAMP02088|len24
DRAMP02077|len24	DRAMP02099|len24
DRAMP02077|len24	DRAMP02098|len24
DRAMP01154|len17	DRAMP01154|len17
DRAMP01154|len17	DRAMP01152|len17
DRAMP01154|len17	DRAMP01153|len17
DRAMP01154|len17	DRAMP01155|len17
DRAMP01154|len17	DRAMP20797|len17
DRAMP01162|len39	DRAMP01162|len39
DRAMP01162|len39	DRAMP18379|len35
DRAMP01162|len39	DRAMP18377|len38
DRAMP01165|len19	DRAMP01165|len19
DRAMP01165|len19	DRAMP01766|len17
DRAMP01165|len19	DRAMP01768|len17
DRAMP01167|len14	DRAMP01167|len14
DRAMP01170|len25	DRAMP01170|len25
DRAMP03365|len25	DRAMP03365|len25
DRAMP03365|len25	DRAMP02979|len25
DRAMP03365|len25	DRAMP02713|len25
DRAMP03365|len25	DRAMP02917|len25
DRAMP03365|len25	DRAMP03564|len20
DRAMP03365|len25	DRAMP03565|len25
DRAMP03365|len25	DRAMP03418|len25
DRAMP03365|len25	DRAMP03364|len25
DRAMP03367|len51	DRAMP03367|len51
DRAMP03371|len41	DRAMP03371|len41
DRAMP03372|len46	DRAMP03372|len46
DRAMP03374|len43	DRAMP03374|len43
DRAMP03376|len54	DRAMP03376|len54
DRAMP03376|len54	DRAMP03375|len50
DRAMP03381|len46	DRAMP03381|len46
DRAMP03381|len46	DRAMP03435|len46
DRAMP03381|len46	DRAMP02680|len48
DRAMP03381|len46	DRAMP03611|len48
DRAMP03386|len55	DRAMP03386|len55
DRAMP03386|len55	DRAMP03444|len55
DRAMP03390|len40	DRAMP03390|len40
DRAMP03392|len46	DRAMP03392|len46
DRAMP03395|len50	DRAMP03395|len50
DRAMP03397|len47	DRAMP03397|len47
DRAMP03397|len47	DRAMP03453|len48
DRAMP03399|len52	DRAMP03399|len52
DRAMP03399|len52	DRAMP02651|len62
DRAMP03399|len52	DRAMP03423|len49
DRAMP03400|len64	DRAMP03400|len64
DRAMP03400|len64	DRAMP02625|len69
DRAMP03400|len64	DRAMP03159|len67
DRAMP03400|len64	DRAMP02699|len67
DRAMP03400|len64	DRAMP03460|len57
DRAMP03401|len60	DRAMP03401|len60
DRAMP03401|len60	DRAMP03402|len60
DRAMP03403|len81	DRAMP03403|len81
DRAMP03407|len34	DRAMP03407|len34
DRAMP03407|len34	DRAMP03373|len35
DRAMP03409|len31	DRAMP03409|len31
DRAMP03409|len31	DRAMP03411|len33
DRAMP03409|len31	DRAMP03410|len33
DRAMP03409|len31	DRAMP03408|len33
DRAMP03412|len71	DRAMP03412|len71
DRAMP03413|len93	DRAMP03413|len93
DRAMP03413|len93	DRAMP03414|len95
DRAMP03413|len93	DRAMP03417|len87
DRAMP03415|len96	DRAMP03415|len96
DRAMP03415|len96	DRAMP03416|len91
DRAMP03421|len29	DRAMP03421|len29
DRAMP03421|len29	DRAMP03422|len31
DRAMP03424|len37	DRAMP03424|len37
DRAMP03424|len37	DRAMP03366|len37
DRAMP03425|len41	DRAMP03425|len41
DRAMP03429|len48	DRAMP03429|len48
DRAMP03429|len48	DRAMP03428|len48
DRAMP03430|len46	DRAMP03430|len46
DRAMP03432|len44	DRAMP03432|len44
DRAMP03432|len44	DRAMP02677|len44
DRAMP03432|len44	DRAMP02617|len44
DRAMP03432|len44	DRAMP02700|len44
DRAMP03432|len44	DRAMP02729|len44
DRAMP03432|len44	DRAMP03606|len44
DRAMP03432|len44	DRAMP03378|len42
DRAMP03434|len59	DRAMP03434|len59
DRAMP03434|len59	DRAMP03380|len59
DRAMP03434|len59	DRAMP03389|len61
DRAMP03436|len62	DRAMP03436|len62
DRAMP03436|len62	DRAMP03382|len62
DRAMP03437|len69	DRAMP03437|len69
DRAMP03438|len75	DRAMP03438|len75
DRAMP03438|len75	DRAMP03384|len75
DRAMP03439|len83	DRAMP03439|len83
DRAMP03440|len83	DRAMP03440|len83
DRAMP03442|len67	DRAMP03442|len67
DRAMP03443|len86	DRAMP03443|len86
DRAMP03445|len53	DRAMP03445|len53
DRAMP03445|len53	DRAMP03387|len53
DRAMP03446|len42	DRAMP03446|len42
DRAMP03446|len42	DRAMP03388|len42
DRAMP03448|len42	DRAMP03448|len42
DRAMP03448|len42	DRAMP03393|len42
DRAMP03449|len50	DRAMP03449|len50
DRAMP03449|len50	DRAMP03394|len51
DRAMP03450|len73	DRAMP03450|len73
DRAMP03450|len73	DRAMP03447|len63
DRAMP03451|len79	DRAMP03451|len79
DRAMP03452|len87	DRAMP03452|len87
DRAMP03454|len75	DRAMP03454|len75
DRAMP03455|len84	DRAMP03455|len84
DRAMP03456|len50	DRAMP03456|len50
DRAMP03456|len50	DRAMP03398|len50
DRAMP03457|len62	DRAMP03457|len62
DRAMP03458|len86	DRAMP03458|len86
DRAMP03459|len64	DRAMP03459|len64
DRAMP03459|len64	DRAMP02619|len63
DRAMP03459|len64	DRAMP02635|len63
DRAMP03459|len64	DRAMP02690|len63
DRAMP03459|len64	DRAMP02702|len63
DRAMP03459|len64	DRAMP02717|len63
DRAMP03459|len64	DRAMP02734|len63
DRAMP03459|len64	DRAMP02920|len63
DRAMP03459|len64	DRAMP03617|len63
DRAMP03459|len64	DRAMP02871|len63
DRAMP03459|len64	DRAMP03383|len64
DRAMP03461|len35	DRAMP03461|len35
DRAMP03466|len14	DRAMP03466|len14
DRAMP03468|len9	DRAMP03468|len9
DRAMP03469|len19	DRAMP03469|len19
DRAMP03470|len38	DRAMP03470|len38
DRAMP03470|len38	DRAMP04493|len37
DRAMP03470|len38	DRAMP02428|len37
DRAMP03470|len38	DRAMP02427|len37
DRAMP03470|len38	DRAMP04495|len39
DRAMP03470|len38	DRAMP02414|len37
DRAMP03470|len38	DRAMP02413|len37
DRAMP03470|len38	DRAMP02415|len37
DRAMP03470|len38	DRAMP02416|len37
DRAMP03470|len38	DRAMP02418|len38
DRAMP03470|len38	DRAMP02417|len44
DRAMP03470|len38	DRAMP02424|len38
DRAMP03470|len38	DRAMP02426|len36
DRAMP03470|len38	DRAMP03719|len37
DRAMP03470|len38	DRAMP03720|len38
DRAMP03470|len38	DRAMP03740|len37
DRAMP03470|len38	DRAMP04492|len38
DRAMP03470|len38	DRAMP32114|len36
DRAMP03470|len38	DRAMP02420|len41
DRAMP03470|len38	DRAMP02419|len41
DRAMP03470|len38	DRAMP03082|len38
DRAMP03470|len38	DRAMP20801|len38
DRAMP03470|len38	DRAMP02811|len38
DRAMP03470|len38	DRAMP32113|len37
DRAMP03473|len10	DRAMP03473|len10
DRAMP03475|len35	DRAMP03475|len35
DRAMP18589|len41	DRAMP18589|len41
DRAMP18592|len21	DRAMP18592|len21
DRAMP18592|len21	DRAMP18595|len21
DRAMP18592|len21	DRAMP18661|len21
DRAMP18610|len10	DRAMP18610|len10
DRAMP18611|len10	DRAMP18611|len10
DRAMP18612|len7	DRAMP18612|len7
DRAMP18627|len18	DRAMP18627|len18
DRAMP18507|len17	DRAMP18507|len17
DRAMP18619|len17	DRAMP18619|len17
DRAMP18619|len17	DRAMP18618|len17
DRAMP18621|len13	DRAMP18621|len13
DRAMP18622|len23	DRAMP18622|len23
DRAMP18623|len14	DRAMP18623|len14
DRAMP18631|len30	DRAMP18631|len30
DRAMP18632|len20	DRAMP18632|len20
DRAMP18636|len20	DRAMP18636|len20
DRAMP18636|len20	DRAMP18637|len20
DRAMP18636|len20	DRAMP20887|len20
DRAMP18636|len20	DRAMP20888|len20
DRAMP18636|len20	DRAMP18635|len20
DRAMP18640|len19	DRAMP18640|len19
DRAMP18640|len19	DRAMP18639|len18
DRAMP18640|len19	DRAMP18671|len17
DRAMP18641|len6	DRAMP18641|len6
DRAMP18642|len6	DRAMP18642|len6
DRAMP18643|len6	DRAMP18643|len6
DRAMP18644|len6	DRAMP18644|len6
DRAMP18645|len6	DRAMP18645|len6
DRAMP18646|len6	DRAMP18646|len6
DRAMP18647|len6	DRAMP18647|len6
DRAMP18649|len11	DRAMP18649|len11
DRAMP18651|len12	DRAMP18651|len12
DRAMP18652|len12	DRAMP18652|len12
DRAMP18653|len12	DRAMP18653|len12
DRAMP18654|len16	DRAMP18654|len16
DRAMP18655|len17	DRAMP18655|len17
DRAMP18656|len7	DRAMP18656|len7
DRAMP18656|len7	DRAMP00192|len7
DRAMP18657|len10	DRAMP18657|len10
DRAMP18658|len13	DRAMP18658|len13
DRAMP18659|len32	DRAMP18659|len32
DRAMP18664|len15	DRAMP18664|len15
DRAMP18664|len15	DRAMP18663|len18
DRAMP18664|len15	DRAMP32853|len17
DRAMP18665|len14	DRAMP18665|len14
DRAMP18666|len20	DRAMP18666|len20
DRAMP18668|len16	DRAMP18668|len16
DRAMP18669|len15	DRAMP18669|len15
DRAMP18670|len10	DRAMP18670|len10
DRAMP18672|len10	DRAMP18672|len10
DRAMP18673|len19	DRAMP18673|len19
DRAMP18674|len18	DRAMP18674|len18
DRAMP18675|len16	DRAMP18675|len16
DRAMP18676|len13	DRAMP18676|len13
DRAMP18678|len14	DRAMP18678|len14
DRAMP18679|len20	DRAMP18679|len20
DRAMP18679|len20	DRAMP18677|len22
DRAMP18680|len10	DRAMP18680|len10
DRAMP18681|len10	DRAMP18681|len10
DRAMP18682|len10	DRAMP18682|len10
DRAMP18683|len15	DRAMP18683|len15
DRAMP18684|len10	DRAMP18684|len10
DRAMP18685|len14	DRAMP18685|len14
DRAMP18686|len19	DRAMP18686|len19
DRAMP18687|len21	DRAMP18687|len21
DRAMP18688|len19	DRAMP18688|len19
DRAMP18688|len19	DRAMP03700|len19
DRAMP18689|len14	DRAMP18689|len14
DRAMP18690|len11	DRAMP18690|len11
DRAMP18691|len11	DRAMP18691|len11
DRAMP18692|len15	DRAMP18692|len15
DRAMP18693|len11	DRAMP18693|len11
DRAMP18694|len11	DRAMP18694|len11
DRAMP18695|len11	DRAMP18695|len11
DRAMP18696|len16	DRAMP18696|len16
DRAMP18698|len12	DRAMP18698|len12
DRAMP18699|len13	DRAMP18699|len13
DRAMP18700|len13	DRAMP18700|len13
DRAMP18702|len26	DRAMP18702|len26
DRAMP18702|len26	DRAMP01383|len28
DRAMP18703|len31	DRAMP18703|len31
DRAMP18704|len26	DRAMP18704|len26
DRAMP18705|len30	DRAMP18705|len30
DRAMP18706|len16	DRAMP18706|len16
DRAMP18706|len16	DRAMP01542|len16
DRAMP18706|len16	DRAMP01540|len16
DRAMP18706|len16	DRAMP01541|len16
DRAMP18708|len28	DRAMP18708|len28
DRAMP18708|len28	DRAMP01671|len27
DRAMP18708|len28	DRAMP30334|len24
DRAMP18708|len28	DRAMP30335|len28
DRAMP18708|len28	DRAMP30336|len28
DRAMP18708|len28	DRAMP30337|len28
DRAMP18708|len28	DRAMP33754|len26
DRAMP18708|len28	DRAMP33755|len24
DRAMP18708|len28	DRAMP33757|len26
DRAMP18713|len19	DRAMP18713|len19
DRAMP18713|len19	DRAMP18712|len19
DRAMP18714|len5	DRAMP18714|len5
DRAMP18715|len7	DRAMP18715|len7
DRAMP18717|len37	DRAMP18717|len37
DRAMP18717|len37	DRAMP03755|len37
DRAMP18718|len7	DRAMP18718|len7
DRAMP18719|len7	DRAMP18719|len7
DRAMP18720|len7	DRAMP18720|len7
DRAMP18722|len13	DRAMP18722|len13
DRAMP18723|len8	DRAMP18723|len8
DRAMP18724|len69	DRAMP18724|len69
DRAMP18724|len69	DRAMP02337|len66
DRAMP03645|len32	DRAMP03645|len32
DRAMP20769|len79	DRAMP20769|len79
DRAMP20771|len59	DRAMP20771|len59
DRAMP20772|len26	DRAMP20772|len26
DRAMP20775|len9	DRAMP20775|len9
DRAMP20776|len10	DRAMP20776|len10
DRAMP20778|len8	DRAMP20778|len8
DRAMP20780|len12	DRAMP20780|len12
DRAMP20780|len12	DRAMP31767|len12
DRAMP20780|len12	DRAMP32893|len12
DRAMP20780|len12	DRAMP31768|len12
DRAMP20780|len12	DRAMP32889|len12
DRAMP20780|len12	DRAMP32892|len12
DRAMP20780|len12	DRAMP31763|len12
DRAMP20780|len12	DRAMP31766|len12
DRAMP20780|len12	DRAMP32886|len12
DRAMP20780|len12	DRAMP32891|len12
DRAMP20781|len12	DRAMP20781|len12
DRAMP20782|len23	DRAMP20782|len23
DRAMP20782|len23	DRAMP18701|len23
DRAMP20784|len18	DRAMP20784|len18
DRAMP20785|len27	DRAMP20785|len27
DRAMP20787|len21	DRAMP20787|len21
DRAMP20787|len21	DRAMP20786|len22
DRAMP20787|len21	DRAMP34328|len23
DRAMP20787|len21	DRAMP35856|len23
DRAMP20793|len23	DRAMP20793|len23
DRAMP20794|len20	DRAMP20794|len20
DRAMP20800|len14	DRAMP20800|len14
DRAMP20803|len22	DRAMP20803|len22
DRAMP20804|len14	DRAMP20804|len14
DRAMP20806|len22	DRAMP20806|len22
DRAMP20806|len22	DRAMP20805|len25
DRAMP20807|len35	DRAMP20807|len35
DRAMP20809|len18	DRAMP20809|len18
DRAMP20809|len18	DRAMP20808|len21
DRAMP20809|len18	DRAMP20810|len15
DRAMP20811|len12	DRAMP20811|len12
DRAMP20817|len12	DRAMP20817|len12
DRAMP20818|len12	DRAMP20818|len12
DRAMP20819|len12	DRAMP20819|len12
DRAMP20820|len7	DRAMP20820|len7
DRAMP20822|len20	DRAMP20822|len20
DRAMP20823|len15	DRAMP20823|len15
DRAMP20824|len36	DRAMP20824|len36
DRAMP20825|len28	DRAMP20825|len28
DRAMP20826|len21	DRAMP20826|len21
DRAMP20827|len13	DRAMP20827|len13
DRAMP20828|len15	DRAMP20828|len15
DRAMP20834|len9	DRAMP20834|len9
DRAMP20839|len17	DRAMP20839|len17
DRAMP20842|len11	DRAMP20842|len11
DRAMP20842|len11	DRAMP20843|len13
DRAMP20845|len9	DRAMP20845|len9
DRAMP20846|len10	DRAMP20846|len10
DRAMP20846|len10	DRAMP20844|len11
DRAMP20847|len10	DRAMP20847|len10
DRAMP20849|len9	DRAMP20849|len9
DRAMP20849|len9	DRAMP20848|len9
DRAMP20851|len11	DRAMP20851|len11
DRAMP20851|len11	DRAMP20850|len11
DRAMP20859|len20	DRAMP20859|len20
DRAMP20860|len35	DRAMP20860|len35
DRAMP20862|len35	DRAMP20862|len35
DRAMP20862|len35	DRAMP20863|len40
DRAMP20864|len27	DRAMP20864|len27
DRAMP20869|len9	DRAMP20869|len9
DRAMP20870|len8	DRAMP20870|len8
DRAMP20871|len7	DRAMP20871|len7
DRAMP20872|len6	DRAMP20872|len6
DRAMP20873|len5	DRAMP20873|len5
DRAMP20874|len18	DRAMP20874|len18
DRAMP20874|len18	DRAMP20841|len18
DRAMP20878|len50	DRAMP20878|len50
DRAMP20878|len50	DRAMP04611|len43
DRAMP20878|len50	DRAMP03471|len43
DRAMP20878|len50	DRAMP04612|len43
DRAMP20885|len12	DRAMP20885|len12
DRAMP20886|len12	DRAMP20886|len12
DRAMP20890|len18	DRAMP20890|len18
DRAMP20890|len18	DRAMP18638|len18
DRAMP20890|len18	DRAMP20889|len18
DRAMP20908|len9	DRAMP20908|len9
DRAMP20909|len9	DRAMP20909|len9
DRAMP20910|len14	DRAMP20910|len14
DRAMP20911|len14	DRAMP20911|len14
DRAMP20924|len12	DRAMP20924|len12
DRAMP20924|len12	DRAMP04532|len12
DRAMP20924|len12	DRAMP20913|len12
DRAMP20924|len12	DRAMP20918|len12
DRAMP20924|len12	DRAMP20921|len12
DRAMP20924|len12	DRAMP20915|len12
DRAMP20924|len12	DRAMP20916|len12
DRAMP20924|len12	DRAMP21143|len12
DRAMP20924|len12	DRAMP20917|len12
DRAMP20924|len12	DRAMP20919|len12
DRAMP20924|len12	DRAMP20920|len12
DRAMP20924|len12	DRAMP20922|len12
DRAMP20924|len12	DRAMP20923|len12
DRAMP20924|len12	DRAMP20925|len12
DRAMP20924|len12	DRAMP20914|len12
DRAMP20929|len13	DRAMP20929|len13
DRAMP20929|len13	DRAMP20912|len16
DRAMP20930|len12	DRAMP20930|len12
DRAMP20936|len28	DRAMP20936|len28
DRAMP20936|len28	DRAMP20837|len31
DRAMP20937|len22	DRAMP20937|len22
DRAMP20938|len14	DRAMP20938|len14
DRAMP20940|len14	DRAMP20940|len14
DRAMP20940|len14	DRAMP03028|len14
DRAMP20940|len14	DRAMP04352|len14
DRAMP20940|len14	DRAMP20832|len14
DRAMP20940|len14	DRAMP03023|len14
DRAMP20946|len24	DRAMP20946|len24
DRAMP20946|len24	DRAMP20838|len25
DRAMP20953|len13	DRAMP20953|len13
DRAMP20953|len13	DRAMP20950|len13
DRAMP20953|len13	DRAMP20952|len13
DRAMP20958|len17	DRAMP20958|len17
DRAMP20958|len17	DRAMP20957|len17
DRAMP20958|len17	DRAMP21026|len17
DRAMP20959|len12	DRAMP20959|len12
DRAMP20960|len12	DRAMP20960|len12
DRAMP20961|len12	DRAMP20961|len12
DRAMP20963|len11	DRAMP20963|len11
DRAMP20966|len10	DRAMP20966|len10
DRAMP20967|len10	DRAMP20967|len10
DRAMP20968|len25	DRAMP20968|len25
DRAMP20971|len12	DRAMP20971|len12
DRAMP20972|len12	DRAMP20972|len12
DRAMP20972|len12	DRAMP20969|len12
DRAMP35740|len13	DRAMP35740|len13
DRAMP35741|len12	DRAMP35741|len12
DRAMP35752|len16	DRAMP35752|len16
DRAMP35752|len16	DRAMP35754|len16
DRAMP35752|len16	DRAMP35755|len16
DRAMP35752|len16	DRAMP35753|len16
DRAMP35756|len31	DRAMP35756|len31
DRAMP35762|len21	DRAMP35762|len21
DRAMP35763|len8	DRAMP35763|len8
DRAMP35764|len8	DRAMP35764|len8
DRAMP35765|len13	DRAMP35765|len13
DRAMP35766|len13	DRAMP35766|len13
DRAMP35770|len13	DRAMP35770|len13
DRAMP35771|len12	DRAMP35771|len12
DRAMP35772|len15	DRAMP35772|len15
DRAMP35773|len17	DRAMP35773|len17
DRAMP35776|len10	DRAMP35776|len10
DRAMP35781|len21	DRAMP35781|len21
DRAMP35781|len21	DRAMP29065|len21
DRAMP35781|len21	DRAMP35782|len20
DRAMP35784|len38	DRAMP35784|len38
DRAMP35784|len38	DRAMP35783|len38
DRAMP35786|len15	DRAMP35786|len15
DRAMP35787|len16	DRAMP35787|len16
DRAMP35788|len14	DRAMP35788|len14
DRAMP35789|len16	DRAMP35789|len16
DRAMP35790|len14	DRAMP35790|len14
DRAMP35792|len16	DRAMP35792|len16
DRAMP35792|len16	DRAMP03927|len15
DRAMP35792|len16	DRAMP35793|len16
DRAMP35794|len21	DRAMP35794|len21
DRAMP35794|len21	DRAMP04354|len20
DRAMP35794|len21	DRAMP04355|len20
DRAMP35795|len21	DRAMP35795|len21
DRAMP35800|len6	DRAMP35800|len6
DRAMP35800|len6	DRAMP35799|len6
DRAMP35810|len6	DRAMP35810|len6
DRAMP35811|len5	DRAMP35811|len5
DRAMP35812|len10	DRAMP35812|len10
DRAMP35816|len7	DRAMP35816|len7
DRAMP35819|len21	DRAMP35819|len21
DRAMP35819|len21	DRAMP35818|len21
DRAMP35819|len21	DRAMP35820|len21
DRAMP35819|len21	DRAMP35821|len21
DRAMP35835|len2	DRAMP35835|len2
DRAMP35836|len2	DRAMP35836|len2
DRAMP35837|len20	DRAMP35837|len20
DRAMP35840|len5	DRAMP35840|len5
DRAMP35848|len20	DRAMP35848|len20
DRAMP35848|len20	DRAMP35847|len20
DRAMP35858|len21	DRAMP35858|len21
DRAMP35859|len22	DRAMP35859|len22
DRAMP35860|len21	DRAMP35860|len21
DRAMP35861|len20	DRAMP35861|len20
DRAMP35862|len19	DRAMP35862|len19
DRAMP35863|len15	DRAMP35863|len15
DRAMP35864|len15	DRAMP35864|len15
DRAMP35865|len15	DRAMP35865|len15
DRAMP35866|len15	DRAMP35866|len15
DRAMP35867|len15	DRAMP35867|len15
DRAMP35868|len15	DRAMP35868|len15
DRAMP35870|len15	DRAMP35870|len15
DRAMP35871|len15	DRAMP35871|len15
DRAMP35871|len15	DRAMP35869|len15
DRAMP35872|len15	DRAMP35872|len15
DRAMP35873|len15	DRAMP35873|len15
DRAMP35874|len15	DRAMP35874|len15
DRAMP35904|len13	DRAMP35904|len13
DRAMP35905|len13	DRAMP35905|len13
DRAMP35906|len13	DRAMP35906|len13
DRAMP35907|len9	DRAMP35907|len9
DRAMP35908|len12	DRAMP35908|len12
DRAMP35909|len10	DRAMP35909|len10
DRAMP35910|len9	DRAMP35910|len9
DRAMP35911|len10	DRAMP35911|len10
DRAMP35934|len30	DRAMP35934|len30
DRAMP35935|len30	DRAMP35935|len30
DRAMP35935|len30	DRAMP35933|len30
DRAMP35938|len18	DRAMP35938|len18
DRAMP35938|len18	DRAMP35937|len22
DRAMP35938|len18	DRAMP35936|len25
DRAMP35940|len17	DRAMP35940|len17
